Type,GlobalId,ArchiCADProperties:Element ID,ArchiCADProperties:Hotlink und Element-ID,ArchiCADProperties:Ebene,ArchiCADProperties:Bibliothekselement-Name,ArchiCADProperties:Eindeutige ID,ArchiCADProperties:ARCHICAD IFC ID,ArchiCADProperties:Externe IFC ID,ArchiCADProperties:Kollidierende Räume,ArchiCADProperties:Zugehöriger Raumname,ArchiCADProperties:Zugehörige Raumnummer,ArchiCADProperties:Geschützt,ArchiCADProperties:Verknüpfte Änderungen,ArchiCADProperties:Ursprungsgeschoss Name,ArchiCADProperties:Ursprungsgeschoss Nummer,ArchiCADProperties:Name des Eigenschafts-Objekts,ArchiCADProperties:Element-Typ,ArchiCADProperties:Absolutes Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Relatives Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Überobjekt-ID,ArchiCADProperties:Baustoffe (Alle),ArchiCADProperties:Oberfläche (Alle),ArchiCADProperties:Hotlink Master-ID,ArchiCADProperties:Deckschraffur,ArchiCADProperties:Umbau-Status,ArchiCADProperties:Anzeigen auf Umbau-Filter,ArchiCADProperties:Oberfläche,ArchiCADProperties:Einheitliche Oberfläche,ArchiCADProperties:Raumname,ArchiCADProperties:Raumnummer,ArchiCADProperties:Raumkategoriename,ArchiCADProperties:Raumkategoriecode,ArchiCADProperties:Verbundene 3D Element(e),ArchiCADProperties:ARCHICAD Klassifizierung - v2.0,IfcWallCommon:ElementID
IfcWall,2G0QkmE1byHeN7KcjHwK5X,tbd,tbd,010 Aussenwände,,9001ABB0-3819-7C46-85C7-526B51E94161,2G0QkmE1byHeN7KcjHwK5X,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnen HOL,Wohnen,False,,OG2,2,,Wand,OG3,Ursprung + 1,Ursprung + 1 (OG3),tbd,"Holzfassade 600; Luft, vertikal 300; Dämmung Flumroc Disco 760; Holzkonstruktion (Dämmung) 650; Gipsfaserplatte 710; Gipsplatte 320; Verputz, Innen 150",15 Farbe gelb (SP); FMK Holzfassade; 00 Transparent; 20 Farbe dunkelgelb; FMK Holzfassade V,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcDoor,1LmFPojdppGwbhaDLvcI9N,T-WHG-,T-WHG-,015 Wohnungstrennwände / Kernwände,Blockrahmen 1 24,55C0F672-B67C-F343-A96B-90D579992257,1LmFPojdppGwbhaDLvcI9N,,Nebenräume; Nebenräume / Massivbau ui,Kellerabteile,8,False,,UG,-1,,Tür,,,,tbd,,FMK Tür- und Fenstergriffe; FMK Wohnungstüre,,,Bestand,Alle relevanten Filter,,,,,,,,Tür,
IfcWall,1OWTP43cJnHAVFWk2HXEbP,tbd,tbd,015 Wohnungstrennwände / Kernwände,,5881D644-0E64-F144-A7CF-82E09184E959,1OWTP43cJnHAVFWk2HXEbP,,Nebenräume; Nebenräume / Massivbau ui,Nebenräume,Nebenräume,False,,UG,-1,,Wand,EG,Ursprung + 1,Ursprung + 1 (EG),tbd,"MW, Kalksandstein","MW Kalksandstein, 2DF",,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,1ItGZyccBJHgtBp1nDoK0X,tbd,tbd,050 Geländer Balkone,,52DD08FC-9A62-D346-ADCB-CC1C4DC94021,1ItGZyccBJHgtBp1nDoK0X,,Balkon,Balkon,Balkon,False,,OG2,2,,Wand,Nicht verknüpft,Nicht verknüpft,Nicht verknüpft,tbd,Glas,Glas Normalglas Brüstung,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,0bxcxr5fyDJfHRx7fHiQr0,tbd,tbd,016 Innenwände ,,25EE6EF5-169F-0D4E-945B-EC7A51B1AD40,0bxcxr5fyDJfHRx7fHiQr0,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnung,,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Metallständer (Dämmung) 450; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcDoor,1189$$cbDOJPDSRWb61qO_,T-WHG-,T-WHG-,015 Wohnungstrennwände / Kernwände,Blockrahmen 1 24,41209FFF-9A53-584D-935C-6E094607463E,1189$$cbDOJPDSRWb61qO_,,Nebenräume; Nebenräume / Massivbau ui,Kellerabteile,8,False,,UG,-1,,Tür,,,,tbd,,FMK Tür- und Fenstergriffe; FMK Wohnungstüre,,,Bestand,Alle relevanten Filter,,,,,,,,Tür,
IfcWall,3WrvgipaGzGOhiZFGIxFLM,tbd,tbd,015 Wohnungstrennwände / Kernwände,,E0D79AAC-CE44-3D41-8AEC-8CF412ECF556,3WrvgipaGzGOhiZFGIxFLM,,Nebenräume; Nebenräume / Massivbau ui,Nebenräume,Nebenräume,False,,UG,-1,,Wand,EG,Ursprung + 1,Ursprung + 1 (EG),tbd,"MW, Kalksandstein","MW Kalksandstein, 2DF",,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWindow,3SWIjtH4GGI9e$4Pa3vK2H,Fen.Nr.,Fen.Nr.,010 Aussenwände,2-Flügelfenster 24,DC812B77-4444-1048-9A3F-119903E54091,3SWIjtH4GGI9e$4Pa3vK2H,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Fenster,,,,tbd,,Glas Normalglas; FMK Fensterrahmen Aussen; FMK Fensterrahmen Innen; FMK Tür- und Fenstergriffe; FMK Holzfassade V,,,Bestand,Alle relevanten Filter,,,,,,,,Fenster,
IfcWall,2hOpMJdfplIwX$cGAFLFIm,tbd,tbd,010 Aussenwände,,AB633593-9E9C-EF4B-A87F-99028F54F4B0,2hOpMJdfplIwX$cGAFLFIm,,Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnung,,False,,OG2,2,,Wand,OG3,Ursprung + 1,Ursprung + 1 (OG3),tbd,"Holzfassade 600; Luft, vertikal 300; Dämmung Flumroc Disco 760; Holzkonstruktion (Dämmung) 650; Gipsfaserplatte 710; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP); FMK Holzfassade; 00 Transparent; 20 Farbe dunkelgelb; FMK Holzfassade V,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcDoor,0cejMC7FvMJRTiAvKkhZko,T-WHG-,T-WHG-,015 Wohnungstrennwände / Kernwände,Blockrahmen 1 24,26A2D58C-1CFE-564D-B76C-2B952EAE3BB2,0cejMC7FvMJRTiAvKkhZko,,Wohnen; Wohnen / Holzbau; Wohnen HOL,Wohnen/Essen,3,False,,DG,5,,Tür,,,,tbd,,FMK Tür- und Fenstergriffe; FMK Wohnungstüre,,,Bestand,Alle relevanten Filter,,,,,,,,Tür,
